,Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Type of crisis,First country (to hide),Website name (to hide),Crisis description,Related crisis,Starting date,Duration (days)
131,TUR002,,,Turkey,Syrian Refugees in Turkey,TUR,Middle east,International displacement,Turkey,Syrian refugees,https://www.acaps.org/country/Turkey/crisis/Syrian-refugees,SYR001,Before 2019,More than 2 years
132,TUR003,,,Turkey,Mixed Migration Flows in Turkey,TUR,Middle east,International displacement,Turkey,Mixed Migration,https://www.acaps.org/country/Turkey/crisis/Mixed-Migration,,Before 2019,More than 2 years
133,TUR004,,,Turkey,Kurdish Conflict,TUR,Middle east,Conflict,Turkey,Kurdish conflict,https://www.acaps.org/country/Turkey/crisis/Kurdish-conflict,,Before 2019,More than 2 years
134,REG006,,,"Turkey, Greece",Eastern Mediterranean Route ,"TUR, GRC",Europe,Regional crisis,Turkey,Eastern Mediterranean Route,https://www.acaps.org/country/Turkey/crisis/Eastern-Mediterranean-Route,,Before 2019,More than 2 years
135,UGA001,,,Uganda,Multiple crises in Uganda,UGA,Africa,Multiple crisis country,Uganda,Country level,https://www.acaps.org/country/Uganda/crisis/Country-level,,2020-06-05 00:00:00,240
136,UGA006,FL-2020-000132-UGA,FL-2020-000132-UGA,Uganda,Floods and Landslides in Uganda,UGA,Africa,Flood,Uganda,Floods and Landslides,https://www.acaps.org/country/Uganda/crisis/Floods-and-Landslides,,2020-06-05 00:00:00,240
137,UKR002,,,Ukraine,Conflict in Ukraine,UKR,Europe,Conflict,Ukraine,Conflict,https://www.acaps.org/country/Ukraine/crisis/Conflict,,Before 2019,More than 2 years
138,VUT002,TC-2020-000049-VUT,TC-2020-000049-VUT,Vanuatu,Cyclone Harold in Vanuatu,VUT,Pacific,Tropical cyclone,Vanuatu,Cyclone Harold,https://www.acaps.org/country/Vanuatu/crisis/Cyclone-Harold,,2020-04-15 00:00:00,291
139,VEN001,,,Venezuela,Complex crisis in Venezuela,VEN,Americas,Complex crisis,Venezuela,Complex crisis,https://www.acaps.org/country/Venezuela/crisis/Complex-crisis,,Before 2019,More than 2 years
140,REG002,,,"Venezuela, Brazil, Colombia, Ecuador, Peru, Trinidad and Tobago",Venezuela Regional Crisis,"VEN, BRA, COL, ECU, PER, TTO",Americas,Regional crisis,Venezuela,Venezuela Regional Crisis,https://www.acaps.org/country/Venezuela/crisis/Venezuela-Regional-Crisis,VEN001,Before 2019,More than 2 years
141,VNM002,,Vietnam,Vietnam,Floods in central Vietnam,VNM,Asia,Flood,Vietnam,Floods,https://www.acaps.org/country/Vietnam/crisis/Floods,,2020-11-02 00:00:00,90
142,YEM001,,,Yemen,Conflict in Yemen,YEM,Middle east,Complex crisis,Yemen,Complex crisis,https://www.acaps.org/country/Yemen/crisis/Complex-crisis,,Before 2019,More than 2 years
143,YEM002,,,Yemen,Mixed migration flows in Yemen,YEM,Middle east,International displacement,Yemen,Mixed Migration,https://www.acaps.org/country/Yemen/crisis/Mixed-Migration,,Before 2019,More than 2 years
144,ZMB002,,,Zambia,Drought in Zambia,ZMB,Africa,Drought,Zambia,Drought,https://www.acaps.org/country/Zambia/crisis/Drought,REG012,Before 2019,More than 2 years
145,ZWE001,,,Zimbabwe,Complex crisis in Zimbabwe,ZWE,Africa,Complex crisis,Zimbabwe,Complex crisis,https://www.acaps.org/country/Zimbabwe/crisis/Complex-crisis,REG012,Before 2019,More than 2 years
