,Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
500,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama",Moderate humanitarian conditions - Level 3,26942629,"RMRP 2022; UCAB, 2021; R4V, 2022; R4V 2022; R4V 2022; R4V 2022; R4V 2022; R4V 2022; R4V 2022",Medium,2,https://www.r4v.info/en/document/rmrp-2022  https://assets.website-files.com/5d14c6a5c4ad42a4e794d0f7/6153ad6fb92e4428cada4fb7_Presentacion%20ENCOVI%202021%20V1.pdf  https://www.r4v.info/pt/document/rmrp-2022-plano-regional-e-capitulo-brasil  https://www.r4v.info/en/document/rmrp-2022  https://www.r4v.info/en/document/rmrp-2022  https://www.r4v.info/es/document/chile-two-pager  https://www.r4v.info/en/document/rmrp-2022  https://data.humdata.org/dataset/rmrp-2022 https://data.humdata.org/dataset/rmrp-2022,Sum of PIN in countries with REG002,REG002Moderate humanitarian conditions - Level 3,2022-08-29,Humanitarian development
501,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama",Severe humanitarian conditions - Level 4,0,"RMRP 2022; UCAB, 2021; R4V, 2022; R4V 2022; R4V 2022; R4V 2022; R4V 2022; R4V 2022; R4V 2022",Low,3,https://www.r4v.info/en/document/rmrp-2022  https://assets.website-files.com/5d14c6a5c4ad42a4e794d0f7/6153ad6fb92e4428cada4fb7_Presentacion%20ENCOVI%202021%20V1.pdf  https://www.r4v.info/pt/document/rmrp-2022-plano-regional-e-capitulo-brasil  https://www.r4v.info/en/document/rmrp-2022  https://www.r4v.info/en/document/rmrp-2022  https://www.r4v.info/es/document/chile-two-pager  https://www.r4v.info/en/document/rmrp-2022  https://data.humdata.org/dataset/rmrp-2022 https://data.humdata.org/dataset/rmrp-2022,Calculations using the ACAPS methodology,REG002Severe humanitarian conditions - Level 4,2022-08-29,Humanitarian development
502,Venezuela Regional Crisis,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama",Crisis affected groups,5,R4V 2022,Medium,2,r4v.info/en/refugeeandmigrants,"IDPs, Refugees/asylum-seekers/migrants, Returnees, Host, Non-Host",REG002Crisis affected groups,2022-08-29,Humanitarian development
503,Mixed migration flows in Algeria,DZA002,Algeria,Injuries reported,x,x,x,x,x,x,DZA002Injuries reported,2022-08-30,Humanitarian development
504,Mixed migration flows in Algeria,DZA002,Algeria,Buildings damaged,x,x,x,x,x,x,DZA002Buildings damaged,2022-08-30,Humanitarian development
505,Mixed migration flows in Algeria,DZA002,Algeria,Economic Losses,x,x,x,x,x,x,DZA002Economic Losses,2022-08-30,Humanitarian development
506,Mixed migration flows in Algeria,DZA002,Algeria,Buildings destroyed,x,x,x,x,x,x,DZA002Buildings destroyed,2022-08-30,Humanitarian development
507,Mixed migration flows in Algeria,DZA002,Algeria,Illness cases reported,x,x,x,x,x,x,DZA002Illness cases reported,2022-08-30,Humanitarian development
508,Sahrawi refugees in Algeria,DZA003,Algeria,Injuries reported,x,x,x,x,x,x,DZA003Injuries reported,2022-08-30,Humanitarian development
509,Sahrawi refugees in Algeria,DZA003,Algeria,Buildings destroyed,x,x,x,x,x,x,DZA003Buildings destroyed,2022-08-30,Humanitarian development
510,Sahrawi refugees in Algeria,DZA003,Algeria,Buildings damaged,x,x,x,x,x,x,DZA003Buildings damaged,2022-08-30,Humanitarian development
511,Sahrawi refugees in Algeria,DZA003,Algeria,Economic Losses,x,x,x,x,x,x,DZA003Economic Losses,2022-08-30,Humanitarian development
512,Sahrawi refugees in Algeria,DZA003,Algeria,Illness cases reported,x,x,x,x,x,x,DZA003Illness cases reported,2022-08-30,Humanitarian development
513,Drought in Senegal,SEN002,Senegal,Fatalities reported,15,ACLED - August 2022,High,1,https://acleddata.com/dashboard/#/dashboard,Fatalities incurred in Senegal from the 01/03/2022 to the 12/08/2022,SEN002Fatalities reported,2022-08-31,Humanitarian development
514,Drought in Senegal,SEN002,Senegal,Fatalities in all crises,15,ACLED - August 2022,High,1,https://acleddata.com/dashboard/#/dashboard,Global fatalities incurred in Senegal from the 01/03/2022 to the 12/08/2022,SEN002Fatalities in all crises,2022-08-31,Humanitarian development
515,Drought in Ethiopia,ETH005,Ethiopia,Injuries reported,x,x,x,x,x,Information gap,ETH005Injuries reported,2022-09-01,Humanitarian development
516,Complex crisis in Pakistan,PAK001,Pakistan,Buildings damaged,1200000,OCHA 23/09/22,High,1,Pakistan: 2022 Monsoon Floods - Situation Report No. 7 (As of 23 September 2022) - Pakistan | ReliefWeb,Total houses damaged,PAK001Buildings damaged,2022-09-26,Change in the data/methodology
517,Complex crisis in Pakistan,PAK001,Pakistan,Buildings destroyed,805000,OCHA 23/09/22,High,1,Pakistan: 2022 Monsoon Floods - Situation Report No. 7 (As of 23 September 2022) - Pakistan | ReliefWeb,Total houses destroyed,PAK001Buildings destroyed,2022-09-26,Change in the data/methodology
518,International Displacement in Uganda,UGA005,Uganda,Fatalities in all crises,2465, ECHO 26/07/2022,Medium ,2,https://reliefweb.int/report/uganda/uganda-karamoja-subregion-acute-food-insecurity-and-malnutrition-dg-echo-ipc-wfp-unicef-fewsnet-local-media-echo-daily-flash-26-july-2022,Fatalities due to food insecurity in karamoja. No information about refugee fatalities.,UGA005Fatalities in all crises,2022-09-27,Humanitarian development
519,Complex crisis in Sudan,SDN001,Sudan,Economic Losses,14851,"IFRC 09/09/2022 , OCHA 28/08/2022 , OCHA 25/9/2022",Medium ,2,"https://reliefweb.int/report/sudan/sudan-floods-operation-update-4-emergency-appeal-no-mdrsd028 , https://reports.unocha.org/en/country/sudan/card/29Rx7YCKzC/ , https://reliefweb.int/report/sudan/sudan-2022-flood-response-update-25-september-2022","The floods have reportedly affected at least 500 health facilities, 397 schools , 1,000 water sources  , 2,683 public utilities and 10,271 latrines have been damaged or destroyed .",SDN001Economic Losses,2022-10-17,Change in the data/methodology
520,Drought in Senegal,SEN002,Senegal,People displaced,4363,International Organization for Migration - 21st October 2022,High,1,https://reliefweb.int/report/senegal/senegal-rapport-sur-le-suivi-des-flux-de-populations-juillet-2022-dashboard-44-publication-juillet-2022, Displaced persons in Senegal with over 4363 internally displaced persons as a result of drought.,SEN002People displaced,2022-11-04,Humanitarian development
521,Drought in Senegal,SEN002,Senegal,Crisis affected groups,1,International Organization for Migration - 21st October 2022,High,1,https://reliefweb.int/report/senegal/senegal-rapport-sur-le-suivi-des-flux-de-populations-juillet-2022-dashboard-44-publication-juillet-2022,Different group of persons for the crisis inlcude; internally displaced persons,SEN002Crisis affected groups,2022-11-04,Humanitarian development
522,Drought in Djibouti,DJI003,Djibouti,Illness cases reported,x,x,x,x,x,No Data/ Information on this,DJI003Illness cases reported,2022-11-28,Humanitarian development
523,Drought in Djibouti,DJI003,Djibouti,Injuries reported,x,x,x,x,x,No Data/ Information on this,DJI003Injuries reported,2022-11-28,Humanitarian development
524,Drought in Djibouti,DJI003,Djibouti,Buildings damaged,x,x,x,x,x,No Data/ Information on this,DJI003Buildings damaged,2022-11-28,Humanitarian development
525,Drought in Djibouti,DJI003,Djibouti,Buildings destroyed,x,x,x,x,x,No Data/ Information on this,DJI003Buildings destroyed,2022-11-28,Humanitarian development
526,Drought in Djibouti,DJI003,Djibouti,Buildings in affected area,x,x,x,x,x,No Data/ Information on this,DJI003Buildings in affected area,2022-11-28,Humanitarian development
527,Drought in Djibouti,DJI003,Djibouti,Economic Losses,x,x,x,x,x,No Data/ Information on this,DJI003Economic Losses,2022-11-28,Humanitarian development
528,Drought in Djibouti,DJI003,Djibouti,Crisis affected groups,5,x,Medium ,2,x,"Refugees, host, non-host population,  retunrees, IDPs",DJI003Crisis affected groups,2022-11-28,Humanitarian development
529,Drought in Djibouti,DJI003,Djibouti,People facing limited access constraints,x,x,x,x,x,No Data/ Information on this,DJI003People facing limited access constraints,2022-11-28,Humanitarian development
530,Drought in Djibouti,DJI003,Djibouti,People facing restricted access constraints,x,x,x,x,x,No Data/ Information on this,DJI003People facing restricted access constraints,2022-11-28,Humanitarian development
531,Mixed migration in Djibouti,DJI002,Djibouti,Illness cases reported,x,X,x,x,X,No data/ Information,DJI002Illness cases reported,2022-11-28,Humanitarian development
532,Mixed migration in Djibouti,DJI002,Djibouti,Injuries reported,x,X,x,x,X,No data/ Information,DJI002Injuries reported,2022-11-28,Humanitarian development
533,Mixed migration in Djibouti,DJI002,Djibouti,Buildings damaged,x,X,x,x,X,No data/ Information,DJI002Buildings damaged,2022-11-28,Humanitarian development
534,Mixed migration in Djibouti,DJI002,Djibouti,Buildings destroyed,x,X,x,x,X,No data/ Information,DJI002Buildings destroyed,2022-11-28,Humanitarian development
535,Mixed migration in Djibouti,DJI002,Djibouti,Buildings in affected area,x,X,x,x,X,No data/ Information,DJI002Buildings in affected area,2022-11-28,Humanitarian development
536,Mixed migration in Djibouti,DJI002,Djibouti,Economic Losses,x,X,x,x,X,No data/ Information,DJI002Economic Losses,2022-11-28,Humanitarian development
537,Mixed migration in Djibouti,DJI002,Djibouti,Crisis affected groups,1,UNHCR 30/06/2022 ; IOM 14/09/2022,Medium ,2,https://data2.unhcr.org/en/documents/details/92638 ; https://dtm.iom.int/reports/djibouti-%E2%80%94-migration-trends-dashboard-august-2022,Refugees and asylum seekers,DJI002Crisis affected groups,2022-11-28,Humanitarian development
538,Mixed migration in Djibouti,DJI002,Djibouti,People facing limited access constraints,x,X,x,x,X,No data/ Information,DJI002People facing limited access constraints,2022-11-28,Humanitarian development
539,Mixed migration in Djibouti,DJI002,Djibouti,People facing restricted access constraints,x,X,x,x,X,No data/ Information,DJI002People facing restricted access constraints,2022-11-28,Humanitarian development
540,Multiple crises in Djibouti,DJI001,Djibouti,Illness cases reported,x,x,x,x,x,No Data/ Information on this,DJI001Illness cases reported,2022-11-28,Humanitarian development
541,Multiple crises in Djibouti,DJI001,Djibouti,Injuries reported,x,x,x,x,x,No Data/ Information on this,DJI001Injuries reported,2022-11-28,Humanitarian development
542,Multiple crises in Djibouti,DJI001,Djibouti,Buildings damaged,x,x,x,x,x,No Data/ Information on this,DJI001Buildings damaged,2022-11-28,Humanitarian development
543,Multiple crises in Djibouti,DJI001,Djibouti,Buildings destroyed,x,x,x,x,x,No Data/ Information on this,DJI001Buildings destroyed,2022-11-28,Humanitarian development
544,Multiple crises in Djibouti,DJI001,Djibouti,Buildings in affected area,x,x,x,x,x,No Data/ Information on this,DJI001Buildings in affected area,2022-11-28,Humanitarian development
545,Multiple crises in Djibouti,DJI001,Djibouti,Economic Losses,x,x,x,x,x,No Data/ Information on this,DJI001Economic Losses,2022-11-28,Humanitarian development
546,Multiple crises in Djibouti,DJI001,Djibouti,Crisis affected groups,5,x,Medium ,2,x,"Refugees, host, non-host population,  retunrees, IDPs",DJI001Crisis affected groups,2022-11-28,Humanitarian development
547,Multiple crises in Djibouti,DJI001,Djibouti,People facing limited access constraints,x,x,x,x,x,No Data/ Information on this,DJI001People facing limited access constraints,2022-11-28,Humanitarian development
548,Multiple crises in Djibouti,DJI001,Djibouti,People facing restricted access constraints,x,x,x,x,x,,DJI001People facing restricted access constraints,2022-11-28,Humanitarian development
549,Venezuela displacement in Colombia,COL002,Colombia,People facing limited access constraints,x,"x
",x,x,x,no data available,COL002People facing limited access constraints,2022-12-20,Humanitarian development
550,Venezuela displacement in Colombia,COL002,Colombia,People facing restricted access constraints,x,"x
",x,x,x,no data available,COL002People facing restricted access constraints,2022-12-20,Humanitarian development
551,Drought in Ethiopia,ETH005,Ethiopia,Fatalities reported,24,OCHA 15/12/2022,Medium ,2,https://reliefweb.int/report/ethiopia/ethiopia-cholera-outbreak-flash-update-4-14-december-2022,Fatalities arising from cholera  in drought stricken areas.,ETH005Fatalities reported,2022-12-20,Humanitarian development
552,International Displacement,ETH003,Ethiopia,Illness cases reported,x,x,x,x,x,,ETH003Illness cases reported,2022-12-20,Humanitarian development
553,International Displacement,ETH003,Ethiopia,Injuries reported,x,x,x,x,x,No data/ information on this,ETH003Injuries reported,2022-12-20,Humanitarian development
554,International Displacement,ETH003,Ethiopia,Fatalities reported,x,x,x,x,x,No data/ Information on this,ETH003Fatalities reported,2022-12-20,Humanitarian development
555,International Displacement,ETH003,Ethiopia,Buildings damaged,x,x,x,x,x,No data/ information on this,ETH003Buildings damaged,2022-12-20,Humanitarian development
556,International Displacement,ETH003,Ethiopia,Buildings destroyed,x,x,x,x,x,No data/ information on this,ETH003Buildings destroyed,2022-12-20,Humanitarian development
557,International Displacement,ETH003,Ethiopia,Buildings in affected area,x,x,x,x,x,No data/ information on this,ETH003Buildings in affected area,2022-12-20,Humanitarian development
558,International Displacement,ETH003,Ethiopia,Economic Losses,x,x,x,x,x,No data/ information on this,ETH003Economic Losses,2022-12-20,Humanitarian development
559,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,People facing limited access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing limited accesss constraints,CRI002People facing limited access constraints,2022-12-26,Humanitarian development
560,Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,People facing restricted access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing restricted accesss constraints,CRI002People facing restricted access constraints,2022-12-26,Humanitarian development
561,Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,People facing limited access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing limited access constraints,NIC001People facing limited access constraints,2022-12-26,Humanitarian development
562,Socioeconomic crisis in Nicaragua,NIC001,Nicaragua,People facing restricted access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing restricted access constraints,NIC001People facing restricted access constraints,2022-12-26,Humanitarian development
563,Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,People facing limited access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing limited access constraints,DOM002People facing limited access constraints,2022-12-26,Humanitarian development
564,Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,People facing restricted access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing restricted access constraints,DOM002People facing restricted access constraints,2022-12-26,Humanitarian development
565,Complex crisis in Ethiopia,ETH001,Ethiopia,Injuries reported,x,X,x,x,X,No data / information,ETH001Injuries reported,2022-12-27,Humanitarian development
566,Complex crisis in Ethiopia,ETH001,Ethiopia,Buildings damaged,x,X,x,x,X,No data / information,ETH001Buildings damaged,2022-12-27,Humanitarian development
567,Complex crisis in Ethiopia,ETH001,Ethiopia,Buildings destroyed,x,X,x,x,X,No data / information,ETH001Buildings destroyed,2022-12-27,Humanitarian development
568,Complex crisis in Ethiopia,ETH001,Ethiopia,Buildings in affected area,x,X,x,x,X,No data / information,ETH001Buildings in affected area,2022-12-27,Humanitarian development
569,Drought in South-West Angola,AGO002,Angola,Total population,34500000,Humanitarian data - 1st January 2021,High,1,https://data.humdata.org/group/ago,Total population of Angola adjusted with the recent statistics of the 01st of January 2021,AGO002Total population,2022-12-29,Humanitarian development
570,Food Security in Mauritania,MRT003,Mauritania,Crisis affected groups,3,"WFP 11/12/2022 , UNHCR 21/12/2022",Medium ,2,"https://reliefweb.int/report/mauritania/mauritanie-cadre-harmonise-danalyse-et-didentification-des-zones-risque-et-des-populations-en-insecurite-alimentaire-au-sahel-et-en-afrique-de-louest-ch-cree-le-12112022 , https://data.unhcr.org/en/documents/details/97737","Refugees, Host and Non-host",MRT003Crisis affected groups,2023-01-12,Change in the data/methodology
571,Complex crisis in Ethiopia,ETH001,Ethiopia,Economic Losses,4500000,WFP 13/1/2023,Medium ,2,https://reliefweb.int/report/ethiopia/wfp-regional-bureau-eastern-africa-drought-response-horn-africa-situational-report-2-december-2022,4.5 million livestock are estimated to have died because of the ongoing drought in Ethiopia,ETH001Economic Losses,2023-01-27,Humanitarian development
572,Southern Africa Regional Food Security Crisis,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania",Economic Losses,228, x   IFRC 20/12/2022  X x,Medium ,2, x   https://reliefweb.int/report/malawi/malawi-tropical-storm-ana-6-month-operation-update-emergency-appeal-no-mdrmw015  X x,The figure of economic losses in Malawi as there is no information about economic losses  in the other countries,REG012Economic Losses,2023-01-31,Humanitarian development
573,Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya",Injuries reported,4893,x; ; AOAV Accessed 19/12/2022,Medium ,2,x; ; http://www.explosiveviolencedata.com/filters#results-title,Total injuries arising from drought related complications arising from drought in the Eat African region,REG014Injuries reported,2023-02-28,Humanitarian development
574,Eastern Africa Regional Drought Crisis,REG014,"Ethiopia,Somalia,Kenya",Economic Losses,7852053,WFP 13/1/2023; ; ,High,1,https://reliefweb.int/report/ethiopia/wfp-regional-bureau-eastern-africa-drought-response-horn-africa-situational-report-2-december-2022; ; ,4.5 million livestock are estimated to have died because of the ongoing drought in Ethiopia,REG014Economic Losses,2023-02-28,
575,Complex crisis in Sudan,SDN001,Sudan,Buildings damaged,48200,OCHA accessed on 13/3/2023,Medium ,2,https://www.humanitarianresponse.info/en/operations/sudan/floods-2022,The number of houses damaged because of floods as of 25 October 2022,SDN001Buildings damaged,2023-03-14,Humanitarian development
576,Complex crisis in Sudan,SDN001,Sudan,Buildings destroyed,24800,OCHA accessed on 13/3/2023,Medium ,2,https://www.humanitarianresponse.info/en/operations/sudan/floods-2022,The number of houses destroyed because of floods as of 25 October 2022,SDN001Buildings destroyed,2023-03-14,Humanitarian development
577,Multiple crisis in Mexico,MEX001,Mexico,People facing limited access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing limited accesss constraints,MEX001People facing limited access constraints,2023-03-28,Humanitarian development
578,Multiple crisis in Mexico,MEX001,Mexico,People facing restricted access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing restricted accesss constraints,MEX001People facing restricted access constraints,2023-03-28,Humanitarian development
579,Criminal Violence in Mexico,MEX002,Mexico,People facing limited access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing limited access constraints,MEX002People facing limited access constraints,2023-03-28,Humanitarian development
580,Criminal Violence in Mexico,MEX002,Mexico,People facing restricted access constraints,x,x,x,x,x,There are no approximate or exact figures about people in need facing restricted access constraints,MEX002People facing restricted access constraints,2023-03-28,Humanitarian development
581,Mixed Migration in Mexico,MEX003,Mexico,People facing limited access constraints,x,"x
",x,x,x,There are no approximate or exact figures about people in need facing limited accesss constraints,MEX003People facing limited access constraints,2023-03-28,Humanitarian development
582,Mixed Migration in Mexico,MEX003,Mexico,People facing restricted access constraints,x,"x
",x,x,x,There are no approximate or exact figures about people in need facing restricted accesss constraints,MEX003People facing restricted access constraints,2023-03-28,Humanitarian development
583,Southern Africa Regional Food Security Crisis,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania",Buildings damaged,437, x   OCHA 20/03/2023  X x,Medium ,2, x   https://reliefweb.int/report/malawi/malawi-tropical-cyclone-freddy-flash-update-no-5-20-march-2023  X x,"The number of buildings damaged in Malawi ,  there is no information about the ilness cases in the other countries",REG012Buildings damaged,2023-03-29,Humanitarian development
584,Southern Africa Regional Food Security Crisis,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania",Buildings destroyed,437,OCHA 20/03/2023,Medium ,2, x   https://reliefweb.int/report/malawi/malawi-tropical-cyclone-freddy-flash-update-no-5-20-march-2023  X x,"The number of  buildings destroyed in Malawi ,  there is no information about the ilness cases in the other countries",REG012Buildings destroyed,2023-03-29,Humanitarian development
585,Drought in Ethiopia,ETH005,Ethiopia,Economic Losses,6850000,OCHA 10/3/2023,High,1,https://reliefweb.int/report/ethiopia/ethiopia-drought-situation-update-1-10-march-2023,6.85 million livestock are estimated to have died because of the ongoing drought in Ethiopia,ETH005Economic Losses,2023-03-30,Humanitarian development
586,Northern Ethiopia Conflict,ETH004,Ethiopia,Injuries reported,x,x,,0,x,Data infofrmation missing,ETH004Injuries reported,2023-03-30,Humanitarian development
587,Complex crisis in Malawi,MWI002,Malawi,Buildings in affected area,0,x,x,x,x,No cummulative figures on this indicator,MWI002Buildings in affected area,2023-03-31,Humanitarian development
588,Complex crisis in Malawi,MWI002,Malawi,People facing limited access constraints,0,x,Low,3,x,No cummulative figures on this indicator,MWI002People facing limited access constraints,2023-03-31,Humanitarian development
589,Complex crisis in Malawi,MWI002,Malawi,People facing restricted access constraints,0,x,Low,3,x,No cummulative figures on this indicator,MWI002People facing restricted access constraints,2023-03-31,Humanitarian development
590,Complex crisis in Malawi,MWI002,Malawi,Crisis affected groups,3,"UNHCR accessed on 26/04/2023 , Govt. Malawi 13/04/2023",Medium ,2,"https://data2.unhcr.org/en/country/mwi , https://reliefweb.int/report/malawi/tropical-cyclone-freddy-emergency-response-plan-office-president-and-cabinet-department-disaster-management-affairs-march-2023","Host-community , IDPs , refugees and asylum-seekers",MWI002Crisis affected groups,2023-04-28,Change in the data/methodology
591,Multiple Crises in Tanzania,TZA001,Tanzania,Crisis affected groups,2,"IPC 30/12/2022 , UNHCR 15/03/2023",Medium ,2," https://www.ipcinfo.org/ipc-country-analysis/details-map/en/c/1156131/?iso3=TZA,  https://data2.unhcr.org/en/documents/details/99656",Host-community and Refugees,TZA001Crisis affected groups,2023-04-30,Humanitarian development
592,International Displacement in Tanzania,TZA002,Tanzania,Crisis affected groups,2,UNHCR 20/02/2023,Medium ,2,https://data2.unhcr.org/en/documents/details/99153,Host-community and Refugees,TZA002Crisis affected groups,2023-04-30,Humanitarian development
593,Refugees from Mali in Mauritania,MRT002,Mauritania,Landmass affected,206000,"City Population acceessed on 30/04/2023 ,UNHCR 17/04/2023",Medium ,2,"https://www.citypopulation.de/en/mauritania/cities/ , https://data.unhcr.org/en/documents/details/100304","Total landmass of regions that host Malian refugees: Hodh Chargu, Nouakchott, and Nouadhibou.",MRT002Landmass affected,2023-04-30,Humanitarian development
594,Refugees from Mali in Mauritania,MRT002,Mauritania,Crisis affected groups,2,UNHCR 17/04/2023,Medium ,2, https://data.unhcr.org/en/documents/details/100304,Host community and refugees,MRT002Crisis affected groups,2023-04-30,Humanitarian development
595,Complex crisis in Haiti,HTI001,Haiti,People facing limited access constraints,x,X,x,x,X,No data available,HTI001People facing limited access constraints,2023-05-03,Change in the data/methodology
596,Complex crisis in Haiti,HTI001,Haiti,People facing restricted access constraints,x,X,x,x,X,No data available,HTI001People facing restricted access constraints,2023-05-03,Change in the data/methodology
597,Complex crisis in El Salvador,SLV001,El Salvador,People facing limited access constraints,x,x,x,x,x,No data available,SLV001People facing limited access constraints,2023-05-30,Humanitarian development
598,Complex crisis in El Salvador,SLV001,El Salvador,People facing restricted access constraints,x,x,x,x,x,No data available,SLV001People facing restricted access constraints,2023-05-30,Humanitarian development
599,Venezuela displacement in Panama,PAN002,Panama,People facing limited access constraints,x,X,x,x,X,No data available,PAN002People facing limited access constraints,2023-05-30,Humanitarian development
600,Venezuela displacement in Panama,PAN002,Panama,People facing restricted access constraints,x,X,x,x,X,No data available,PAN002People facing restricted access constraints,2023-05-30,Humanitarian development
601,Complex crisis in Guatemala,GTM001,Guatemala,People facing limited access constraints,x,"x
",x,x,x,There are no approximate or exact figures about people in need facing limited accesss constraints,GTM001People facing limited access constraints,2023-05-31,Humanitarian development
602,Complex crisis in Guatemala,GTM001,Guatemala,People facing restricted access constraints,x,"x
",x,x,x,There are no approximate or exact figures about people in need facing restricted accesss constraints,GTM001People facing restricted access constraints,2023-05-31,Humanitarian development
603,Complex crisis in Honduras,HND001,Honduras,People facing limited access constraints,x,x,x,x,x,No data available,HND001People facing limited access constraints,2023-05-31,Humanitarian development
604,Complex crisis in Honduras,HND001,Honduras,People facing restricted access constraints,x,x,x,x,x,No data available,HND001People facing restricted access constraints,2023-05-31,Humanitarian development
605,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Total population,107142736,World Bank 2020 +OCHA 2023 HNO 22/12/2022,High,1,https://data.worldbank.org/indicator/SP.POP.TOTL?locations=TR; https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-2023-humanitarian-needs-overview-december-2022-enar,"World Bank figures, includes refugee population + Total population of Syria based on 2023 HNO",REG015Total population,2023-06-28,Humanitarian development
606,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Landmass affected,155377,"City Population accessed 06/2023 +KFCRIS , OCHA 06/02/2023",High,1,https://www.citypopulation.de/en/turkey/cities/; https://kfcris.com/pdf/5e43a7813784133606d70cc8b52d433b5909a9623e8c2.pdf; https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-humanitarian-country-team-hct-coordinated-response-flash-update-earthquake-6-february-2023,"Total surface areas of: Gaziantep, K. Maras, Hatay, Osmaniye, Malatya, Sansliurfa, Adana, Diyarbakir, Kilis. All of them are considered impacted by the Turkey / Syria earthquake. + Total surface areas of: Aleppo, Lattaki, Hama, Tartous, Idelb, and Ar-Raqqa. These governorates are all considered impacted by Turkiye / Syria earthquake.",REG015Landmass affected,2023-06-28,Humanitarian development
607,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",People exposed,27000077,TurkStat accessed 06/2023 +OCHA 22/12/2022,Medium ,2,https://data.tuik.gov.tr/Bulten/Index?p=The-Results-of-Address-Based-Population-Registration-System-2021-45500&dil=2; https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-2023-humanitarian-needs-overview-december-2022?_gl=1*mk5vc1*_ga*MTY1MTI5MjA4Mi4xNjcxNjIyMzY5*_ga_E60ZNX2F68*MTY3NTc2MzI4Ny4zLjAuMTY3NTc2MzI4Ny42MC4wLjA.,"Total population of: Gaziantep, K. Maras, Hatay, Osmaniye, Malatya, Sansliurfa, Adana, Diyarbakir, Kilis. The whole population are considered exposed to Turkiye / Syria earthquake.  + Total population of: Aleppo, Lattaki, Hama, Tartous, Idelb, and Ar-Raqqa. The whole population are considered exposed to Turkiye / Syria earthquake. The population of these areas are based on 2023 HNO",REG015People exposed,2023-06-28,Humanitarian development
608,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",People affected,17900000,OCHA 06/03/2023 +UNHCR 22/06/2023,Low,3,https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-7-6-march-2023; https://reliefweb.int/report/syrian-arab-republic/earthquake-emergency-response-whole-syria-final-report-june-2023,People affected by the EQ + People affected by the EQ,REG015People affected,2023-06-28,Humanitarian development
609,Turkiye / Syria earthquake,REG015,"Türkiye,Syria",Crisis affected groups,5,OCHA 06/05/2023; OCHA 18/05/2023 +Skynews 18/2/2023,Low,3,"https://reliefweb.int/report/turkiye/turkiye-2023-earthquakes-situation-report-no-17-6-may-2023-entr
https://reliefweb.int/report/turkiye/turkiye-earthquake-2023-humanitarian-response-overview-17-may-2023; https://www.skynewsarabia.com/middle-east/1598343-%D8%A7%D9%84%D8%B2%D9%84%D8%B2%D8%A7%D9%84-%D8%A7%D9%84%D9%83%D8%A8%D9%8A%D8%B1-%D8%A7%D8%B1%D8%AA%D9%81%D8%A7%D8%B9-%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D9%82%D8%AA%D9%84%D9%89-%D8%A7%D9%94%D9%83%D8%AB%D8%B1-45-%D8%A7%D9%94%D9%84%D9%81%D8%A7","Host; non-host; and Refugees, asylum seekers, and others of concern (such as migrants etc.) are exposed or affected by the Turkiye / Syria earthquake in Turkey.  + IDPs; Refugees, asylum seekers, and others of concern (such as migrants etc.); Returnees; Host and; Non-Host  are exposed or affected by the Turkiye / Syria earthquake in Northern Syria.",REG015Crisis affected groups,2023-06-28,Humanitarian development
