,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
139,Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,19.047,0,0.162,x,x,2,0.9915664532250508,0,0.008433546774949242,x,x,1,1.5
140,Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,144.237,0,1.228,0,0,3.5,0.9915649232799868,0,0.008441951273167244,0,0,1,2.25
141,Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.382,0,0.135,0,0,1.9,0.9463647199046484,0,0.05363528009535161,0,0,3,2.45
142,Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,0,23.214,10.547,10.651,3.588,5,0,0.483625,0.21972916666666667,0.22189583333333332,0.07475,5,5
143,Refugees in Sudan,Displacement,SDN005,Sudan,SDN,40.779,6.347,0.874,x,x,3.2,0.8495625,0.13222916666666668,0.018208333333333333,x,x,2,2.6
144,Drought in Senegal,Drought,SEN002,Senegal,SEN,14.638,2.876,0.507,0.012,0,2.9,0.811779059449867,0.15949423247559893,0.02811668145519077,0.0006654835847382431,0,2,2.45
145,Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,2.222,2.963,0.446,0.669,0,3.4,0.3526984126984127,0.4703174603174603,0.0707936507936508,0.1061904761904762,0,4,3.7
146,Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,0,11.83,3.504,2.13,1.237,4.7,0,0.6326203208556149,0.18737967914438503,0.11390374331550802,0.06614973262032085,5,4.85
147,Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,2.654,0,0.041,x,x,1,0.9851521900519673,0,0.015219005196733483,x,x,1,1
148,Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,0,3.853,1.282,7.179,0.085,4.9,0,0.3107258064516129,0.10338709677419355,0.5789516129032258,0.0068548387096774195,4,4.45
149,Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,5.432,0,0.126,0,0,1.8,0.9773299748110831,0,0.022670025188916875,0,0,1,1.4
150,Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,0.441,0.46,0.27,0.034,0,2.5,0.3659751037344398,0.3817427385892116,0.22406639004149378,0.028215767634854772,0,3,2.75
151,Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,0,6.799,8.588,8.074,0,5,0,0.2898124467178176,0.3660699062233589,0.34416027280477407,0,4,4.5
152,Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,4.778,8.223,0.297,0.28,0,2.9,0.3518927677124761,0.6056120194432171,0.021873619089703932,0.020621593754603033,0,2,2.45
153,Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,12.884,0,5.475,0.534,0,4.6,0.6819096009315126,0,0.28977453159733246,0.028262940616068592,0,3,3.8
154,Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,0.218,0,0.45,0.062,0,2.8,0.29863013698630136,0,0.6164383561643836,0.08493150684931507,0,4,3.4
155,CAR refugees in Chad,Displacement,TCD004,Chad,TCD,2.808,0,1.094,0.002,0,3.4,0.7190781049935979,0,0.28015364916773366,0.0005121638924455825,0,3,3.2
156,Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,1.013,0,2.005,0.109,0,3.9,0.3239526702910137,0,0.641189638631276,0.034857691077710265,0,3,3.45
157,Conflict in northern region,"Conflict,Displacement,Violence",TGO002,Togo,TGO,0.836,0.239,0.12,0,0,1.8,0.699581589958159,0.2,0.100418410041841,0,0,3,2.4
158,Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,29.546,0.704,0.225,x,x,2.3,0.9695159967186219,0.02310090237899918,0.007383100902378999,x,x,1,1.65
159,Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,0.303,0,0.13,x,x,1.9,0.7013888888888888,0,0.30092592592592593,x,x,3,2.45
160,2024 Monsoon Floods in Thailand,Floods,THA004,Thailand,THA,30.143,0.704,0.096,x,x,1.6,0.9741460104062308,0.022751510842516885,0.0031024787512523026,x,x,1,1.3
161,Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,0.483,0.494,0.342,0.022,0,2.6,0.3604477611940298,0.3686567164179104,0.25522388059701495,0.016417910447761194,0,3,2.8
162,Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,1.323,0.174,0.039,0,0,1,0.8618892508143322,0.11335504885993486,0.025407166123778503,0,0,2,1.5
163,Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,12.214,0,0.085,x,x,1.5,0.9931696210765978,0,0.0069116929582045865,x,x,1,1.25
164,Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,35.462,12.177,4.329,0.598,0.075,4.5,0.6736574153226572,0.23132159343477518,0.08223627970593264,0.011359966565984689,0.0014247449706502537,3,3.75
165,Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,35.09,4.744,1.857,0.533,0.067,4,0.8297469851028612,0.11217781981555923,0.043911090092220384,0.01260345235280208,0.0015842988886261527,3,3.5
166,Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,14.857,0.579,0.227,0.065,0.008,2.5,0.9441408235892221,0.03679461108286731,0.014425521098118963,0.00413065582104728,0.0005083884087442806,2,2.25
167,Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,x,x,x,x,x,x,x,x,x,x,x,x,x
168,Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,4.913,6.854,2.246,x,x,3.9,0.3506030114893313,0.48911724826946407,0.1602797402412046,x,x,3,3.45
169,Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,4.978,16.512,0.612,0,0,3,0.22522848610985433,0.7470817120622568,0.02768980182788888,0,0,2,2.5
170,International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,0,14.782,0.233,x,x,2.3,0,0.9844821844821845,0.015517815517815519,x,x,2,2.15
171,Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,4.978,1.73,0.379,0,0,2.6,0.7024128686327078,0.24410893184704388,0.05347819952024834,0,0,3,2.8
172,International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,6.033,0,1.757,x,x,3.7,0.7744544287548139,0,0.22554557124518615,x,x,3,3.35
173,Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,20.874,2.127,9.504,1.17,3.948,5,0.5548201897775297,0.05653456662148154,0.25261143449485685,0.031097998564707758,0.10493581054142413,5,5
174,Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,8.94,12.299,7.6,0,0,4.8,0.31000762882308064,0.4264858866773008,0.263541160968167,0,0,3,3.9
175,Typhoon Yagi in Vietnam,Cyclone,VNM003,Vietnam,VNM,41.8,3.03,0.57,x,x,2.9,0.920704845814978,0.06674008810572687,0.012555066079295154,x,x,2,2.45
176,Conflict in Yemen,Conflict,YEM001,Yemen,YEM,0,16.25,6.916,6.188,5.096,5,0,0.4716981132075472,0.20075471698113206,0.17962264150943397,0.1479245283018868,5,5
177,Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,0,0,0,0.369,0,2.6,0,0,0,1,0,4,3.3
178,Drought in Zambia,"Drought,Food Security",ZMB002,Zambia,ZMB,5.928,5.76,9.564,0.236,0,5,0.2758749069247952,0.2680565897244974,0.44508562918838424,0.010982874162323157,0,3,4
179,Complex crisis in Zimbabwe,"Socio-political,Drought,Food Security",ZWE001,Zimbabwe,ZWE,0,9.125,7.6,x,x,4.8,0,0.5455904334828101,0.45440956651718983,x,x,3,3.9
