,INFORM Severity Index - all crises. Release: October 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
126,Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,Displacement,2.4,3,Medium,Stable,Medium,2.5,2.2,2.7,2.45,1.9,3,2.3,3,1.5,Africa,2024-10-28 00:00:00
127,Complex crisis in Sudan,SDN001,Sudan,SDN,"Displacement,Violence,Floods",4.9,5,Very High,Stable,High,5,5,5,5,5,5,4.6,4.2,5,Africa,2024-10-29 00:00:00
128,Refugees in Sudan,SDN005,Sudan,SDN,Displacement,3.2,4,High,Stable,Very High,3.6,5,2.5,2.6,3.2,2,3.7,4.2,3,Africa,2024-10-29 00:00:00
129,Drought in Senegal,SEN002,Senegal,SEN,Drought,2.3,3,Medium,Increasing,High,2.8,4.5,1.5,2.45,2.9,2,1.7,2.3,1,Africa,2024-10-30 00:00:00
130,Complex crisis in El Salvador,SLV001,El Salvador,SLV,"Displacement,Violence,Floods,Drought",3.1,4,High,Stable,Very High,2.9,3.7,2.4,3.7,3.4,4,2.3,2.1,2.5,Americas,2024-10-07 00:00:00
131,Complex crisis in Somalia,SOM001,Somalia,SOM,"Conflict,Displacement,Floods,Drought",4.7,5,Very High,Stable,Very High,4.8,4.7,4.9,4.85,4.7,5,4.5,3.8,5,Africa,2024-10-28 00:00:00
132,Mixed Migration Flows in Somalia,SOM002,Somalia,SOM,Displacement,2.1,3,Medium,Stable,Very High,2,1.5,2.3,1,1,1,3.7,3.8,3.5,Africa,2024-10-28 00:00:00
133,Complex crisis in South Sudan,SSD001,South Sudan,SSD,"Conflict,Floods,Displacement",4.4,5,Very High,Stable,Very High,4.5,4.6,4.4,4.45,4.9,4,4.2,3.8,4.5,Africa,2024-10-28 00:00:00
134,Displacement from Russia-Ukraine conflict in Slovakia,SVK002,Slovakia,SVK,"Displacement,Conflict",1.6,2,Low,Stable,Very High,2.5,3.8,1.6,1.4,1.8,1,1,1,1,Europe,2024-09-28 00:00:00
135,Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Drought,2.3,3,Medium,Decreasing,High,2.2,3.1,1.6,2.75,2.5,3,1.8,2.5,1,Africa,2024-10-29 00:00:00
136,Syrian conflict,SYR001,Syria,SYR,"Conflict,Displacement,Violence",4.6,5,Very High,Stable,Very High,4.9,4.6,5,4.5,5,4,4.4,4.3,4.5,Middle east,2024-10-30 00:00:00
137,Türkiye / Syria earthquake in Syria,SYR002,Syria,SYR,Earthquake,3.1,4,High,Stable,High,2.6,2.8,2.5,2.45,2.9,2,4.4,4.3,4.5,Middle east,2024-10-30 00:00:00
138,Complex crisis in Chad,TCD001,Chad,TCD,"Conflict,Displacement",3.8,4,High,Stable,High,3.9,4.8,3.2,3.8,4.6,3,3.6,3.7,3.5,Africa,2024-10-30 00:00:00
139,Lake Chad basin crisis,TCD003,Chad,TCD,Conflict,3.3,4,High,Increasing,High,2.8,0.6,3.5,3.4,2.8,4,3.6,3.7,3.5,Africa,2024-10-30 00:00:00
140,CAR refugees in Chad,TCD004,Chad,TCD,Displacement,3,3,Medium,Stable,High,2.3,1.8,2.5,3.2,3.4,3,3.2,3.7,2.5,Africa,2024-10-30 00:00:00
141,Darfur refugees in Chad,TCD005,Chad,TCD,Displacement,3.3,4,High,Stable,High,2.9,2.1,3.3,3.45,3.9,3,3.2,3.7,2.5,Africa,2024-10-30 00:00:00
142,Conflict in northern region,BEN002,Benin,BEN,"Conflict,Displacement,Violence",2,2,Low,Stable,Very High,2.1,1.7,2.3,1.65,1.3,2,2.5,2.4,2.5,Africa,2024-10-30 00:00:00
143,Myanmar refugees in Thailand,THA003,Thailand,THA,Conflict,2.2,3,Medium,Stable,Very High,1.5,0.5,1.9,2.45,1.9,3,2.3,2.5,2,Asia,2024-10-21 00:00:00
144,2024 Monsoon Floods in Thailand,THA004,Thailand,THA,Floods,2.2,3,Medium,-,Very High,2.7,3.7,2.1,1.3,1.6,1,3,2.5,3.5,Asia,2024-10-21 00:00:00
145,Food Security Crisis in Timor-Leste,TLS003,Timor Leste,TLS,Food Security,2,2,Low,Stable,Very High,2.2,3.1,1.6,2.8,2.6,3,0.7,0.9,0.5,Asia,2024-10-22 00:00:00
146,Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,Displacement,1.7,2,Low,Stable,Very High,2.1,3,1.6,1.5,1,2,1.7,1.4,2,Americas,2024-09-27 00:00:00
147,Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,Displacement,2.3,3,Medium,Decreasing,High,3.5,4.3,2.9,1.25,1.5,1,2.8,2.5,3,Africa,2024-10-22 00:00:00
148,Syrian Refugees in Türkiye,TUR002,Türkiye,TUR,Displacement,3.2,4,High,Stable,Very High,3.1,3.2,3,3.5,4,3,2.7,2.8,2.5,Middle east,2024-10-30 00:00:00
149,Mixed Migration Flows in Türkiye,TUR003,Türkiye,TUR,Displacement,2.4,3,Medium,Increasing,Very High,2.4,2.3,2.4,2.25,2.5,2,2.7,2.8,2.5,Middle east,2024-10-30 00:00:00
150,Kurdish Conflict,TUR004,Türkiye,TUR,Conflict,x,x,x,-,High,2.7,1.6,3.1,x,x,x,2.4,2.8,2,Middle east,2024-10-30 00:00:00
151,Türkiye / Syria earthquake in Türkiye,TUR005,Türkiye,TUR,Earthquake,3,3,Medium,Decreasing,High,2.8,2.2,3,3.45,3.9,3,2.4,2.8,2,Middle east,2024-10-30 00:00:00
152,International Displacement in Tanzania,TZA002,Tanzania,TZA,Displacement,2.4,3,Medium,Stable,High,3.2,2.4,3.5,2.15,2.3,2,2,1.9,2,Africa,2024-10-29 00:00:00
153,Food Security Crisis in North-East Tanzania,TZA003,Tanzania,TZA,Drought,2.3,3,Medium,Stable,High,1.7,2.5,1.3,2.8,2.6,3,2,1.9,2,Africa,2024-10-29 00:00:00
154,International Displacement in Uganda,UGA005,Uganda,UGA,Displacement,3.3,4,High,Increasing,Medium,3.2,1.7,3.8,3.35,3.7,3,3.2,3.7,2.5,Africa,2024-10-28 00:00:00
155,Russia-Ukraine conflict,UKR002,Ukraine,UKR,"Conflict,Displacement",4.5,5,Very High,Stable,High,4.5,4.9,4.3,5,5,5,3.7,2.6,4.5,Europe,2024-10-29 00:00:00
156,Complex crisis in Venezuela,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",4,4,High,Stable,High,4.4,5,4,3.9,4.8,3,3.7,3.3,4,Americas,2024-09-25 00:00:00
157,Typhoon Yagi in Vietnam,VNM003,Vietnam,VNM,Cyclone,2.7,3,Medium,-,Very High,2.9,3.3,2.6,2.45,2.9,2,3,2.9,3,Asia,2024-10-22 00:00:00
158,Conflict in Yemen,YEM001,Yemen,YEM,Conflict,4.7,5,Very High,Stable,High,4.8,4.9,4.7,5,5,5,4.2,3.8,4.5,Middle east,2024-10-29 00:00:00
159,Mixed migration flows in Yemen,YEM002,Yemen,YEM,Displacement,3.2,4,High,Stable,Very High,3.2,1.3,3.8,3.3,2.6,4,3,3.8,2,Middle east,2024-10-29 00:00:00
160,Drought in Zambia,ZMB002,Zambia,ZMB,"Drought,Food Security",3.6,4,High,Increasing,High,4,4.8,3.4,4,5,3,2.5,2.4,2.5,Africa,2024-10-29 00:00:00
161,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought,Food Security",3.8,4,High,Stable,High,4.1,4.6,3.8,3.9,4.8,3,3.4,3.3,3.5,Africa,2024-10-29 00:00:00
