,Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
104,Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,237708,43885000,27988000,804000,x,x,2320,x,x,,x,15897000,17748000,9757000,483000,0,2,x,x,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0
105,Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,108869,12675000,100000,100000,x,x,x,x,x,,x,12575000,0,100000,x,x,2,x,x,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0
106,Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,120340,6796000,1773000,250000,x,x,5,x,x,,x,5023000,1773000,x,x,x,x,x,x,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2024 Monsoon Floods in Nepal,Floods,NPL004,Nepal,NPL,88628,23158000,2590000,47000,183,x,250,12477,5916,,340000000,20568000,2398000,192000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
108,Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,770880,252391000,94415000,3598000,12900,x,1359,1200000,805000,,x,157976000,73815000,19000000,1600000,0,3,x,x,2.0,2.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
109,Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,13297,4179000,x,x,x,x,4,x,x,,x,4179000,x,x,x,x,3,x,x,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,3.0
110,Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,669831,33000000,33000000,300000,12867,0,1739,1200000,805000,,0,0,12400000,20570000,30000,0,2,,,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0
111,Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,74180,521000,58000,58000,x,x,2,x,x,,x,463000,23000,36000,0,0,2,x,x,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
112,Venezuela displacement in Peru,Displacement,PER002,Peru,PER,189315,34353000,14621000,1610000,x,x,0,x,x,,x,19732000,13560000,1060000,0,0,3,x,x,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0
113,Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,272667,99601000,11091000,739000,137,x,358,113514,8432,,317695074,88511000,10322000,769000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
114,Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,99949,26252000,110000,110000,x,x,126,x,x,,x,26143000,0,110000,x,x,4,x,x,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
115,2024 Southwest Monsoon,"Cyclone,Floods",PHL015,Philippines,PHL,129459,65393000,7906000,30000,51,x,93,20175,2243,,221110472,57487000,7846000,60000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
116,Typhoon Trami in Philippines,Cyclone,PHL016,Philippines,PHL,159237,50653000,6868000,599000,86,x,139,93339,6189,,96584602,43784000,6270000,599000,x,x,4,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
117,Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,124455,4711000,320000,27000,2,x,52,1387,x,,x,4391000,261000,59000,x,x,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0
118,Highlands Violence,Violence,PNG003,Papua New Guinea,PNG,63679,4566000,265000,25000,x,x,52,x,x,,x,4302000,239000,25000,x,x,4,x,x,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0
119,2024 Monsoon Flooding in Western Province,Floods,PNG005,Papua New Guinea,PNG,60776,145000,55000,2000,2,x,0,1387,x,,x,89000,22000,34000,x,x,3,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
120,Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,306100,37803000,981000,981000,x,x,0,0,0,,x,36822000,0,981000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,120410,26521000,26521000,34000,0,x,30,x,x,,x,0,16092000,4970000,5459000,0,1,x,x,1.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0
122,Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,6025,5544000,4796000,6591000,24210,x,8830,75623,64254,,x,748000,1496000,2289000,833000,178000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
123,Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,5660,3244000,2496000,2973000,1662,x,283,x,11690,,x,748000,1496000,840000,120000,40000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0
124,Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,365,2300000,2300000,3617000,22548,x,8547,75623,52564,,x,0,0,1449000,713000,138000,5,x,x,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
125,Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",368971,21538000,11099000,5445000,1,x,1919,0,4300,,5200000,10439000,0,5819000,4406000,874000,4,x,800000,1.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,3.0
126,Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",5811256,214402000,64593000,11996000,x,x,512,x,x,,x,149809000,37651000,26943000,0,0,5,x,x,1.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0
127,Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",566255,201624000,39600000,20199000,x,x,3143,x,x,,x,162023000,17456000,13401000,8677000,67000,5,,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0
128,Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",150195,16386000,854000,507000,x,x,6,x,x,,x,15532000,434000,362000,51000,6000,3,x,x,1.0,1.0,1.0,0.0,2.0,3.0,0.0,3.0,0.0
129,Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",4600608,125934000,1378000,1378000,x,x,839,x,x,,x,124556000,0,1378000,x,x,4,x,x,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
130,Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",3327774,133006000,378000,378000,x,x,75,x,x,,x,132628000,0,378000,x,x,4,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
131,Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",37488,5010000,5010000,1307000,x,x,2844,x,x,,x,0,1794000,1752000,1464000,x,5,x,x,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
132,Southern Africa Regional Food Security Crisis,0,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",2753873,101169000,67634000,508000,4,284825,3252,437,437,,228,33535000,37845000,29607000,183000,0,5,,,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0
133,Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",33014,3060000,508000,142000,250,x,6,x,x,,x,2552000,353000,154000,0,0,2,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0
134,Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",2171646,142117000,134333000,2700000,4893,895980,315,x,x,,7852053,7785000,108705000,13124000,12503000,0,5,x,x,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
135,Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",155377,27000000,17900000,3123000,0,x,0,308000,10600,,x,9100000,14723000,3021000,150000,6000,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0
136,Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,238396,19209000,162000,162000,x,x,0,0,0,,x,19047000,0,162000,x,x,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
137,Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,16376870,145464000,1228000,1228000,x,x,0,x,x,,x,144237000,0,1228000,0,0,2,x,x,1.0,1.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0
138,Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,20524,2517000,135000,135000,x,x,x,0,0,,0,2382000,0,135000,0,0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
139,Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,1840687,48000000,48000000,15150000,6000,x,6537,48200,24800,,14851,0,23214000,10547000,10651000,3588000,5,x,x,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
140,Refugees in Sudan,Displacement,SDN005,Sudan,SDN,1840687,48000000,7221000,874000,x,x,3,x,x,,x,40779000,6347000,874000,x,x,2,,,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0
141,Drought in Senegal,Drought,SEN002,Senegal,SEN,196710,18032000,3395000,4000,0,0,15,0,0,,x,14638000,2876000,507000,12000,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
142,Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,20720,6300000,4078000,49000,x,x,10,x,x,,x,2222000,2963000,446000,669000,0,3,x,x,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0
143,Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,627340,18700000,18700000,7927000,x,1616927,2494,x,x,,x,0,11830000,3504000,2130000,1237000,5,x,x,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
144,Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,98924,2694000,41000,41000,x,x,x,x,x,,x,2654000,0,41000,x,x,2,x,x,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
145,Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,644329,12400000,12400000,7404000,x,2570173,521,x,x,,x,0,3853000,1282000,7179000,85000,5,x,x,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
146,Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,48080,5558000,126000,126000,x,x,0,x,x,,x,5432000,0,126000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,17200,1205000,764000,x,0,0,0,,,,,441000,460000,270000,34000,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
148,Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,185180,23460000,23460000,16287000,x,x,2446,x,x,,x,0,6799000,8588000,8074000,0,5,x,1160000,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
149,Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,57285,13578000,8800000,40000,0,x,0,10000,10600,,x,4778000,8223000,297000,280000,0,5,x,x,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0
150,Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,1284000,18894000,6010000,1731000,x,x,90,x,x,,x,12884000,0,5475000,534000,0,4,x,x,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
151,Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,22320,730000,512000,259000,x,x,78,x,x,,x,218000,0,450000,62000,0,4,x,x,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0
152,CAR refugees in Chad,Displacement,TCD004,Chad,TCD,148765,3905000,1097000,211000,x,x,8,x,0,,x,2808000,0,1094000,2000,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0
153,Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,374096,3127000,2114000,1261000,x,x,4,x,0,,x,1013000,0,2005000,109000,0,3,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
154,Conflict in northern region,"Conflict,Displacement,Violence",TGO002,Togo,TGO,8560,1195000,359000,58000,x,x,25,x,x,,x,836000,239000,120000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
155,Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,329569,30475000,930000,130000,28,x,52,x,x,,800000000,29546000,704000,225000,x,x,5,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0
156,Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,432000,130000,130000,x,x,0,x,x,,x,303000,0,130000,x,x,2,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
157,2024 Monsoon Floods in Thailand,Floods,THA004,Thailand,THA,354303,30943000,800000,x,28,x,52,x,x,,800000000,30143000,704000,96000,x,x,4,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0
158,Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,14950,1340000,858000,0,0,x,0,x,x,,x,483000,494000,342000,22000,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1535000,212000,36000,x,x,0,x,x,,x,1323000,174000,39000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
160,Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12298000,85000,85000,x,x,870,0,0,,x,12214000,0,85000,x,x,4,x,x,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0
161,Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,341483,52641000,17179000,5701000,x,x,17,x,x,,x,35462000,12177000,4329000,598000,75000,5,x,x,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0
162,Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,203090,42290000,7200000,3333000,x,x,2,0,0,,x,35090000,4744000,1857000,533000,67000,3,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
163,Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,140419,15736000,879000,407000,x,x,11,0,0,,x,14857000,579000,227000,65000,8000,3,x,x,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
164,Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,81458,5833000,x,1200000,x,x,4,x,x,,x,x,x,x,x,x,2,x,x,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0
165,Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,106547,14013000,9100000,761000,0,x,0,3273605,298000,,34000000000,4913000,6854000,2246000,x,x,3,x,x,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
166,Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,441435,22102000,17124000,233000,x,x,0,x,x,,x,4978000,16512000,612000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
167,International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,187103,15015000,15015000,233000,0,x,0,x,x,,x,0,14782000,233000,x,x,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
168,Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,357159,7087000,2109000,x,x,x,0,x,x,,x,4978000,1730000,379000,0,0,2,x,x,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0
169,International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,26513,7790000,1757000,1757000,x,127164,x,x,x,,x,6033000,0,1757000,x,x,2,,,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0
170,Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,603628,37623000,16749000,14817000,5273,x,37905,x,x,,486000000000,20874000,2127000,9504000,1170000,3948000,4,x,x,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0
171,Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,882050,28838000,19899000,7700000,x,x,236,x,x,,x,8940000,12299000,7600000,0,0,5,x,x,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0
172,Typhoon Yagi in Vietnam,Cyclone,VNM003,Vietnam,VNM,150058,45400000,3600000,130000,1976,x,318,282000,x,,x,41800000,3030000,570000,x,x,4,x,x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
173,Conflict in Yemen,Conflict,YEM001,Yemen,YEM,527970,34450000,34450000,5797000,1037,35674,1154,x,x,,x,0,16250000,6916000,6188000,5096000,5,x,x,1.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0
174,Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,131000,369000,369000,369000,234,35674,82,x,x,,x,0,0,0,369000,0,1,x,x,1.0,3.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0
175,Drought in Zambia,"Drought,Food Security",ZMB002,Zambia,ZMB,752618,21488000,15560000,106000,0,23378,740,0,0,,x,5928000,5760000,9564000,236000,0,3,x,x,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
176,Complex crisis in Zimbabwe,"Socio-political,Drought,Food Security",ZWE001,Zimbabwe,ZWE,386850,16725000,16725000,23000,0,34550,719,x,x,,x,0,9125000,7600000,x,x,4,x,x,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0
