,INFORM Severity Index - all crises. Release: April 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
127,CAR refugees in Chad,TCD004,Chad,TCD,Displacement,3.7,4,High,Stable,Medium,2.2,1.7,2.4,4.25,3.5,5,3.7,3.8,3.5,Africa,2023-04-03 00:00:00
128,Darfur refugees in Chad,TCD005,Chad,TCD,Displacement,3.8,4,High,Stable,High,2.5,1.7,2.9,4.25,3.5,5,3.7,3.8,3.5,Africa,2023-04-03 00:00:00
129,Conflict in southern Thailand ,THA002,Thailand,THA,Conflict,x,x,x,-,Low,1.6,1.1,1.9,x,x,x,2,2.5,1.5,Asia,2023-04-29 00:00:00
130,Myanmar refugees in Thailand,THA003,Thailand,THA,Conflict,2.1,3,Medium,Decreasing,Medium,1.4,0.5,1.8,2.3,1.6,3,2.3,2.5,2,Asia,2023-04-29 00:00:00
131,Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,Displacement,2,2,Low,Stable,Very High,2.8,2.9,2.8,1.45,0.9,2,2.2,1.9,2.5,Americas,2023-02-28 00:00:00
132,Mixed migration flows in Tunisia,TUN002,Tunisia,TUN,Displacement,1.8,2,Low,Stable,High,3.2,4.3,2.5,0.55,0.1,1,2.2,2.4,2,Africa,2023-04-27 00:00:00
133,Syrian Refugees in Türkiye,TUR002,Türkiye,TUR,Displacement,3.3,4,High,Stable,Medium,3.8,2.9,4.2,3.4,3.8,3,2.8,3.4,2,Middle east,2023-04-26 00:00:00
134,Mixed Migration Flows in Türkiye,TUR003,Türkiye,TUR,Displacement,2.4,3,Medium,Stable,High,2.7,3.1,2.5,2.05,2.1,2,2.8,3.4,2,Middle east,2023-04-26 00:00:00
135,Kurdish Conflict,TUR004,Türkiye,TUR,Conflict,x,x,x,-,Medium,3.9,2.4,4.4,x,x,x,3,3.4,2.5,Middle east,2023-04-26 00:00:00
136,Türkiye / Syria earthquake in Türkiye,TUR005,Türkiye,TUR,Earthquake,3.3,4,High,-,High,3.9,2.1,4.5,3.1,3.2,3,3,3.4,2.5,Middle east,2023-04-26 00:00:00
137,International Displacement in Tanzania,TZA002,Tanzania,TZA,Displacement,2.3,3,Medium,Stable,Very High,3.2,2.5,3.5,2.15,2.3,2,1.8,2,1.5,Africa,2023-04-30 00:00:00
138,Food Security Crisis in North-East Tanzania,TZA003,Tanzania,TZA,Drought,2.4,3,Medium,Stable,Very High,2.1,2.7,1.7,3.15,3.3,3,1.5,2,1,Africa,2023-04-30 00:00:00
139,International Displacement in Uganda,UGA005,Uganda,UGA,Displacement,3.2,4,High,Stable,Medium,3.2,1.7,3.7,3.3,3.6,3,2.9,3.6,2,Africa,2023-04-18 00:00:00
140,Conflict in Ukraine,UKR002,Ukraine,UKR,"Conflict,Displacement",4.3,5,Very High,Increasing,Very High,4.6,4.9,4.4,5,5,5,2.8,2.6,3,Europe,2023-04-30 00:00:00
141,Complex crisis in Venezuela,VEN001,Venezuela,VEN,"Socio-political,Violence,Floods",4,4,High,Stable,High,4.4,4.9,4.1,4,5,3,3.8,3.6,4,Americas,2023-04-30 00:00:00
142,Cyclone Judy and cyclone Kevin in Vanuatu,VUT003,Vanuatu,VUT,Cyclone,2.2,3,Medium,-,Medium,2.1,3,1.5,3,2,4,1,0.9,1,Pacific,2023-04-30 00:00:00
143,Conflict in Yemen,YEM001,Yemen,YEM,Conflict,4.7,5,Very High,Increasing,Very High,4.7,4.8,4.6,5,5,5,4.3,4.1,4.5,Middle east,2023-03-30 00:00:00
144,Mixed migration flows in Yemen,YEM002,Yemen,YEM,Displacement,2.3,3,Medium,Decreasing,Very High,2.4,1.6,2.7,1.35,1.7,1,3.8,4.1,3.5,Middle east,2023-03-30 00:00:00
145,Drought in Zambia,ZMB002,Zambia,ZMB,Drought,2.9,3,Medium,Stable,High,3.1,4.3,2.2,3.4,3.8,3,1.9,1.8,2,Africa,2023-04-23 00:00:00
146,Complex crisis in Zimbabwe,ZWE001,Zimbabwe,ZWE,"Socio-political,Drought",3.5,4,High,Decreasing,Very High,3.9,4.6,3.5,3.55,4.1,3,3,3,3,Africa,2023-04-23 00:00:00
